,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nālūt,30.33,10.85,81.0,24,0,6.4,LY,1594951957
1,Camacha,33.08,-16.33,68.0,88,20,8.05,PT,1594951957
2,Richards Bay,-28.78,32.04,52.38,74,0,3.56,ZA,1594951957
3,Bredasdorp,-34.53,20.04,44.6,87,0,6.93,ZA,1594951957
4,Punta Arenas,-53.15,-70.92,30.2,86,0,4.7,CL,1594951957
5,Barrow,71.29,-156.79,35.6,74,90,13.87,US,1594951957
6,Vaini,-21.2,-175.2,78.8,78,75,8.05,TO,1594951957
7,Mahébourg,-20.41,57.7,69.8,77,20,6.93,MU,1594951958
8,Albany,42.6,-73.97,70.0,76,100,10.89,US,1594951958
9,Chui,-33.7,-53.46,46.63,93,0,5.77,UY,1594951958
10,Marsá Maţrūḩ,31.35,27.25,75.2,73,40,13.87,EG,1594951958
11,Haines Junction,60.75,-137.51,68.99,37,6,8.97,CA,1594951958
12,San Juan,-31.54,-68.54,50.38,48,0,2.93,AR,1594951958
13,Ponta do Sol,32.67,-17.1,68.0,77,20,4.7,PT,1594951958
14,Ilulissat,69.22,-51.1,48.2,70,100,2.24,GL,1594951958
15,Valparaíso,-33.04,-71.63,50.0,93,100,2.24,CL,1594951959
16,Fortuna,40.6,-124.16,64.99,87,90,11.41,US,1594951959
17,Jamestown,42.1,-79.24,73.0,94,90,4.7,US,1594951959
18,Amahai,-3.33,128.92,81.19,77,100,4.14,ID,1594951959
19,Kushima,31.46,131.23,75.2,78,75,4.7,JP,1594951833
20,Santa Cruz de la Sierra,-17.8,-63.17,74.03,66,6,6.58,BO,1594951899
21,Mataura,-46.19,168.86,39.0,83,45,3.0,NZ,1594951959
22,Kruisfontein,-34.0,24.73,47.08,46,0,4.81,ZA,1594951959
23,Atambua,-9.11,124.89,82.69,52,0,2.37,ID,1594951959
24,Mar del Plata,-38.0,-57.56,48.0,86,0,2.24,AR,1594951854
25,Khatanga,71.97,102.5,46.71,73,100,20.11,RU,1594951868
26,Kajaani,64.23,27.73,46.4,93,0,3.36,FI,1594951960
27,Adrar,20.5,-10.07,86.97,30,64,7.65,MR,1594951960
28,Yellowknife,62.46,-114.35,66.2,48,75,3.36,CA,1594951960
29,Dikson,73.51,80.55,41.16,94,26,5.95,RU,1594951960
30,Halvad,23.02,71.18,83.1,78,99,6.22,IN,1594951960
31,Faanui,-16.48,-151.75,77.74,80,6,10.16,PF,1594951960
32,Port Elizabeth,-33.92,25.57,42.8,93,0,2.24,ZA,1594951960
33,Redlands,34.06,-117.18,86.0,33,5,10.29,US,1594951960
34,Ushuaia,-54.8,-68.3,28.4,74,0,4.7,AR,1594951865
35,New Norfolk,-42.78,147.06,48.0,84,0,1.01,AU,1594951961
36,Narsaq,60.92,-46.05,55.4,35,28,8.05,GL,1594951961
37,Port Augusta,-32.5,137.77,62.6,42,0,11.41,AU,1594951961
38,Kapaa,22.08,-159.32,84.2,70,20,9.17,US,1594951961
