,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Noumea,-22.28,166.46,73.4,60,40,9.17,NC,1594855704
1,Souillac,-20.52,57.52,66.2,100,75,3.36,MU,1594855904
2,Staryy Nadym,65.61,72.68,50.41,83,51,21.63,RU,1594855904
3,Hermanus,-34.42,19.23,42.01,88,43,1.99,ZA,1594855904
4,Ostrovnoy,68.05,39.51,50.2,74,0,7.27,RU,1594855904
5,Upernavik,72.79,-56.15,42.78,89,62,2.3,GL,1594855904
6,São José da Coroa Grande,-8.9,-35.15,75.16,79,7,7.09,BR,1594855904
7,Alofi,-19.06,-169.92,77.0,69,75,14.99,NU,1594855692
8,Alirajpur,22.3,74.35,77.72,88,100,3.69,IN,1594855905
9,Celestún,20.87,-90.4,87.84,66,17,18.5,MX,1594855905
10,Hong Kong,22.29,114.16,86.0,74,86,11.01,HK,1594855870
11,Swift Current,50.28,-107.8,69.8,52,20,16.11,CA,1594855761
12,Isangel,-19.55,169.27,77.0,83,20,3.36,VU,1594855905
13,Russell,32.35,-85.2,75.2,88,40,3.36,US,1594855675
14,Bluff,-46.6,168.33,39.0,83,42,3.0,NZ,1594855905
15,Saint George,37.1,-113.58,104.0,9,1,9.17,US,1594855829
16,Ushuaia,-54.8,-68.3,28.4,86,1,5.82,AR,1594855645
17,Arraial do Cabo,-22.97,-42.03,68.0,72,90,4.7,BR,1594855905
18,Thompson,55.74,-97.86,60.8,93,90,13.87,CA,1594855905
19,Kapaa,22.08,-159.32,82.4,74,75,11.41,US,1594855905
20,Cidreira,-30.18,-50.21,49.64,64,0,5.68,BR,1594855906
21,Kāman,27.65,77.27,89.92,55,27,7.23,IN,1594855906
22,Port Alfred,-33.59,26.89,52.81,43,0,4.72,ZA,1594855906
23,Tigre,-34.43,-58.58,50.0,71,0,4.7,AR,1594855906
24,Itarema,-2.92,-39.92,77.38,80,5,12.39,BR,1594855906
25,Synya,65.37,58.04,49.6,75,99,7.7,RU,1594855712
26,San Vicente,-26.62,-54.13,54.09,86,70,3.65,AR,1594855906
27,Qaqortoq,60.72,-46.03,53.6,62,8,9.17,GL,1594855906
28,Bambanglipuro,-7.95,110.28,76.89,85,83,9.19,ID,1594855906
29,Aswān,24.09,32.91,88.09,17,0,12.41,EG,1594855609
30,Qaanaaq,77.48,-69.36,42.13,83,100,5.21,GL,1594855906
31,Fairlie,55.76,-4.86,57.0,91,96,8.01,GB,1594855906
32,Saint-Philippe,-21.36,55.77,66.2,72,41,4.7,RE,1594855906
33,Vaini,-21.2,-175.2,73.4,88,75,6.93,TO,1594855906
34,Bubaque,11.28,-15.83,78.93,86,100,23.2,GW,1594855906
35,Punta Arenas,-53.15,-70.92,33.8,86,75,5.82,CL,1594855653
36,Mgandu,-5.95,34.13,62.08,65,76,14.76,TZ,1594855907
37,Takoradze,4.88,-1.76,73.67,86,93,8.88,GH,1594855907
38,Cape Town,-33.93,18.42,44.6,87,6,3.36,ZA,1594855907
39,Maniitsoq,65.42,-52.9,45.19,74,83,16.17,GL,1594855649
40,Puerto Ayora,-0.74,-90.35,70.0,83,88,1.01,EC,1594855907
41,Tuktoyaktuk,69.45,-133.04,60.8,55,40,9.17,CA,1594855907
42,Busselton,-33.65,115.33,60.01,95,31,21.61,AU,1594855907
43,Mataura,-46.19,168.86,39.0,83,14,3.0,NZ,1594855907
44,Erenhot,43.65,111.98,78.98,45,100,2.48,CN,1594855907
45,Guisa,20.25,-76.54,87.8,62,20,17.22,CU,1594855907
46,Buala,-8.14,159.59,77.2,86,100,13.31,SB,1594855908
47,Naze,28.37,129.48,80.6,94,75,9.17,JP,1594855908
48,Koutiala,12.39,-5.46,75.31,84,99,8.63,ML,1594855908
49,Rikitea,-23.12,-134.97,74.46,84,88,8.97,PF,1594855908
50,Zhangye,38.93,100.45,74.62,43,96,9.86,CN,1594855908
51,Teacapan,22.55,-105.75,87.26,65,1,10.31,MX,1594855908
52,Faanui,-16.48,-151.75,78.08,86,18,17.25,PF,1594855645
53,Clyde River,70.47,-68.59,60.8,48,1,13.87,CA,1594855642
54,Praia da Vitória,38.73,-27.07,69.8,77,75,11.5,PT,1594855908
55,Ennigerloh,51.83,8.02,61.0,76,95,1.01,DE,1594855908
56,Denpasar,-8.65,115.22,78.8,94,20,16.11,ID,1594855849
57,Olafsvik,64.89,-23.71,50.36,91,100,22.86,IS,1594855908
58,Nānākuli,21.39,-158.15,87.8,52,20,8.05,US,1594855908
59,Sulangan,11.14,123.72,83.08,74,84,12.39,PH,1594855909
60,Acaraú,-2.89,-40.12,77.22,81,9,12.35,BR,1594855909
61,Cherskiy,68.75,161.3,46.74,60,100,4.21,RU,1594855643
62,Vila Franca do Campo,37.72,-25.43,66.2,72,40,8.05,PT,1594855714
63,Bonthe,7.53,-12.51,76.73,79,93,11.27,SL,1594855657
64,Mossamedes,-15.2,12.15,64.63,86,16,6.76,AO,1594855909
65,Tezu,27.92,96.17,76.32,85,100,1.54,IN,1594855909
66,Nikolskoye,59.7,30.79,60.8,67,20,6.71,RU,1594855909
67,Srednekolymsk,67.45,153.68,46.58,64,96,8.9,RU,1594855909
68,Yumaguzino,52.9,56.39,70.52,50,0,7.34,RU,1594855909
69,Peleduy,59.63,112.74,61.63,88,99,5.64,RU,1594855909
70,Bredasdorp,-34.53,20.04,37.4,93,53,2.24,ZA,1594855909
71,Villaviciosa,43.48,-5.44,62.6,82,75,1.12,ES,1594855909
72,Kargil,34.57,76.1,53.19,54,9,6.13,IN,1594855909
73,Avarua,-21.21,-159.78,75.2,57,77,8.05,CK,1594855909
74,San Patricio,19.22,-104.7,86.0,74,75,11.41,MX,1594855910
75,Klaksvík,62.23,-6.59,50.0,100,100,9.17,FO,1594855643
76,Dukat,62.55,155.55,50.38,68,99,8.84,RU,1594855910
77,Huarmey,-10.07,-78.15,62.44,83,20,9.64,PE,1594855910
78,Sikasso,10.92,-7.0,74.88,86,51,7.05,ML,1594855910
79,Saskylakh,71.92,114.08,65.14,43,88,19.66,RU,1594855910
80,Jamestown,42.1,-79.24,82.99,47,1,6.93,US,1594855824
81,Nemuro,43.32,145.57,54.54,89,100,6.93,JP,1594855910
82,Vila Velha,-20.33,-40.29,69.01,94,90,9.17,BR,1594855614
83,East London,-33.02,27.91,54.57,48,0,5.57,ZA,1594855910
84,Mana,5.66,-53.78,78.19,85,1,8.39,GF,1594855910
85,Tasiilaq,65.61,-37.64,46.4,70,0,5.82,GL,1594855910
86,Carnarvon,-24.87,113.63,66.2,63,90,8.05,AU,1594855911
87,Caruray,10.31,119.01,82.51,72,92,3.02,PH,1594855911
88,Koumra,8.91,17.55,71.11,95,90,3.13,TD,1594855911
89,Sehithwa,-20.47,22.72,50.02,67,0,12.24,BW,1594855911
90,Necochea,-38.55,-58.74,42.01,77,1,7.0,AR,1594855835
91,Atuona,-9.8,-139.03,79.29,76,10,16.78,PF,1594855911
